"","Independence Day","The Patriot","The Day After Tomorrow","Pirates of the Caribbean: The Curse of the Black Pearl","Pretty Woman","Forrest Gump","The Green Mile","Con Air","Twister","Sweet Home Alabama","Pearl Harbor","Armageddon","The Rock","What Women Want","Bruce Almighty","Oceans Eleven","The Bourne Identity","The Italian Job","I Robot","American Beauty","How to Lose a Guy in 10 Days","Lethal Weapon 4","Shrek 2","Lost in Translation","Top Gun","Pulp Fiction","Gone in 60 Seconds","The Sixth Sense","Lord of the Rings: The Two Towers","Men of Honor","Gladiator","Lord of the Rings: The Fellowship of the Ring","Sister Act","Double Jeopardy","Two Weeks Notice","Troy","The Royal Tenenbaums","National Treasure","50 First Dates","Indiana Jones and the Last Crusade","My Big Fat Greek Wedding","Mystic River","Titanic","Dirty Dancing","Catch Me If You Can","Finding Nemo (Widescreen)","The Matrix","Kill Bill: Vol. 1","The Wedding Planner","The Shawshank Redemption Special Edition","The Last Samurai","John Q","Swordfish","The Bourne Supremacy","The Terminal","Men in Black II","Spider-Man 2","Braveheart","Men in Black","Ghost","Air Force One","Lord of the Rings: The Return of the King","Man on Fire","The Incredibles","Mr Deeds","Collateral","Spider-Man","Saving Private Ryan","Erin Brockovich","Monsters Inc.","Shrek (Full-screen)","The Silence of the Lambs","Memento","Tomb Raider","Ferris Buellers Day Off","Maid in Manhattan","Entrapment","Meet the Parents","Dodgeball A True Underdog Story","Rain Man","Patch Adams","Big Fish","Fight Club","S.W.A.T.","Good Will Hunting","A Few Good Men","Enemy of the State","The Generals Daughter","Minority Report","Somethings Gotta Give","Raiders of the Lost Ark","Anger Management","Sideways","Kill Bill: Vol. 2","American Pie","The Fast and the Furious","The School of Rock","Napoleon Dynamite","The Notebook"
"1",2,4,4,4,5,3,4,2,3,4,4,3,4,4,3,4,4,4,3.41666666666667,2,4,3.41666666666667,4,2,5,2,3.41666666666667,5,4,4,4,3,3,4,4,4,3.625,4,4.09090909090909,5,5,3.93333333333333,3,4,4,5,5,3.41666666666667,5,5,3,4,4,5,3.93333333333333,4,4,4,3,3,3,4,5,4,3.625,4,4,3,4,3,5,4,4,4,5,4,4,5,3.625,5,5,3,1,3.41666666666667,5,4,4,4,1,4,5,3,3.93333333333333,3.41666666666667,4,1,4,2,5
"2",4,5,3,3,4,3,3,2,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,3,3,2,2.83333333333333,2.66666666666667,3,2,3,2,3,3,3,3,4,3,3,2.8125,3,3,3,2,3,3,2,5,3,3,2,3,3,3,2.83333333333333,3,2,3,3,3,3,3,2,2,3,3,3,2,2.83333333333333,3,1,1,2,3,2,4,3,3,2,3,2.66666666666667,3,2.8125,3,3,3,2.83333333333333,2.83333333333333,3
"3",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.9,5,4,5,5,5,5,5,5,5,5,5,4.91666666666667,5,5,5,4,5,5,5,5,5,5,4.85185185185185,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.85185185185185,5,5,5,4.85714285714286,4.85714285714286,5,5,5,5,5,5,5,5,5,3,5,5,5,4.85185185185185,5,5,4.9,4.91666666666667,5,5,5,5,5,5,5,5
"4",3,3,3,4,4,5,4,3,3,4,3,4,3,4,5,5,4,4,3,5,5,3.62068965517241,5,2,4,4,3,4,5,2,5,4,2,4,3,5,2,4,4,5,4,5,5,4,3,4,1,5,4,5,4,2,2,3,3,2,3,4,3.69230769230769,4,3,4,4,4,3,4,2,5,4.25,4,4,5,4,2,4,3,3,4,4,4,4.25,3,3,3,5,4,3,3,4,5,5,3,5,5,5,4,2,3,5
"5",4,4,4,5,4,5,5,4,4,4,2,4,4,4,3,4,4,3,4,4,2,4,3,3,5,4,4,3,5,4,5,5,3,3.57142857142857,3,4,3,3,3,5,3,5,4,5,4,3,4,4,3,5,4,3,3,4,2,4,4,5,2,4,3,4,4,5,3,4,4,5,4,3.75,4,4,4,3,5,1,3.57142857142857,4,2,4,4.3125,4.3125,5,3,5,4,4,4,4,4,4,3,4,4,4,5,3.3,3,5
"6",4,3,3,4,4,5,4,4,3,3,3,3,4,4,3,3,3,3,3,4,3.4,4,4,3,4,2,3.48275862068966,5,5,4,5,4,3,3,3,3,3,3,3,4,4,3.75,4,4,2,5,4,3,3,4,4,3.85714285714286,4,4,3,2,4,4,3,4,4,5,4,4,2,3,3,4,4,5,5,5,4,3,4,3,3.85714285714286,4,3,4,2,3,3,3,4,3,3,4,3,3.4,5,3.1,3.75,4,3,3,3,3,4
"7",5,4,5,5,5,5,5,5,5,5,4,5,5,5,4.42857142857143,5,4,4,4.56,5,5,4.56,5,5,5,5,5,5,5,4.78571428571429,5,5,3,5,5,5,3,4.63636363636364,4,5,5,5,5,5,5,5,4.56,3,5,5,5,5,5,5,4.78571428571429,3,4,5,4.63636363636364,4.78571428571429,5,5,4.56,5,5,5,4,5,5,5,5,5,5,4.63636363636364,4.42857142857143,5,5,5,5,5,4.78571428571429,5,5,1,5,5,5,5,4,4,5,4.42857142857143,2,4.56,5,5,4.42857142857143,5,5
"8",3,5,3,4,4,5,5,3,2,5,5,5,4,4,3.75,5,4,5,3,4.6,5,5,5,4.36363636363636,4,2,5,5,5,5,5,5,5,5,4,4,3.75,4,5,4.3,4,5,3,5,4,5,4.07407407407407,4,4,5,4.07407407407407,4,5,4.07407407407407,4,3,5,4,4.3,5,4.25,5,5,5,3,3,4.3,5,4,4,5,5,2,4,3.75,4,5,3,3.75,5,4,4.6,4,4,5,5,4,5,4,4,4.3,4,4.6,3,3.75,4,3.75,3.75,5
"9",5,5,5,5,5,3,5,5,5,4,2,3,5,5,5,4.4,4.4,5,5,4,4,5,4,2,5,4.4,5,4,4.28571428571429,4,4.4,4.28571428571429,4,5,5,2,4.4,5,4.11111111111111,4.28571428571429,4.11111111111111,4,4,5,4.28571428571429,3.5,4.4,4.4,4,4,4.4,3,1,4.4,3,5,4.28571428571429,4,5,4,3.5,4.28571428571429,4.4,3.5,5,3.5,4.28571428571429,4.4,4,3,3.5,3.5,3.5,5,5,3,5,4.4,4.4,4,5,4,4.4,4.4,4,4,4.4,3.5,4.4,4.11111111111111,3,4.4,4,4.4,3,2,4.4,4.4,4
"10",4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4.33333333333333,3.72727272727273,5,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,5,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,5,5,5,4,4.33333333333333,4,4,3,5,4,4,3,3,4,4,4.1875,3,3,4,4,4,3,4,4,4,3,4,4.03448275862069,4,4,3,2,4.1875
